Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run,,LBTYA/LBTYB,Telecom Services,0.9916,0.00086,624,,Telecom Services
FMN/NXN,Asset Management,0.9556,0.10752,624,,,,,,,,
NMI/VBF,Asset Management,0.9393,0.10758,624,,,,,,,,
MGYR/PBHC,Banks - Regional,0.9568,0.10776,624,,,,,,,,
ATLO/CZWI,Banks - Regional,0.8541,0.10779,624,,,,,,,,
BOTJ/BSRR,Banks - Regional,0.9482,0.10816,624,,,,,,,,
LSBK/WSBC,Banks - Regional,0.936,0.10851,624,,,,,,,,
MVT/MYI,Asset Management,0.9546,0.10855,624,,,,,,,,
MPA/MQT,Asset Management,0.9876,0.10886,624,,,,,,,,
BYM/MVT,Asset Management,0.9549,0.10905,624,,,,,,,,
NAD/NEA,Asset Management,0.9943,0.10912,624,,,,,,,,
CAC/PKBK,Banks - Regional,0.9757,0.10942,624,,,,,,,,
EOT/PMO,Asset Management,0.9605,0.10977,624,,,,,,,,
FCF/SFBC,Banks - Regional,0.974,0.10981,624,,,,,,,,
IGI/JHS,Asset Management,0.9782,0.10983,624,,,,,,,,
MHF/NXJ,Asset Management,0.9807,0.10992,624,,,,,,,,
CBFV/EBTC,Banks - Regional,0.9235,0.10993,624,,,,,,,,
DJCO/DSGX,Software - Application,0.913,0.10996,624,,,,,,,,
MHD/VCV,Asset Management,0.9702,0.10999,624,,,,,,,,
CAPR/TENX,Biotechnology,0.9379,0.1102,624,,,,,,,,
BYM/MYI,Asset Management,0.9892,0.11027,624,,,,,,,,
IIM/NIM,Asset Management,0.9763,0.1103,624,,,,,,,,
FULT/LSBK,Banks - Regional,0.8748,0.11044,624,,,,,,,,
FCF/LSBK,Banks - Regional,0.8695,0.11045,624,,,,,,,,
VKQ/VMO,Asset Management,0.9955,0.11063,624,,,,,,,,
BOTJ/PNFP,Banks - Regional,0.9245,0.11089,624,,,,,,,,
CXE/NZF,Asset Management,0.9608,0.11091,624,,,,,,,,
BYM/MYN,Asset Management,0.9876,0.11101,624,,,,,,,,
NMI/NNY,Asset Management,0.9689,0.11104,624,,,,,,,,
MFM/PMM,Asset Management,0.9691,0.11119,624,,,,,,,,
FCF/IBCP,Banks - Regional,0.9661,0.11119,624,,,,,,,,
AUB/SFBC,Banks - Regional,0.9556,0.1112,624,,,,,,,,
MGYR/UVSP,Banks - Regional,0.939,0.11132,624,,,,,,,,
MQY/NXC,Asset Management,0.9743,0.11175,624,,,,,,,,
EOT/PML,Asset Management,0.9524,0.11183,624,,,,,,,,
MUC/MYN,Asset Management,0.9936,0.11185,624,,,,,,,,
NXN/PMO,Asset Management,0.9747,0.11216,624,,,,,,,,
ASB/FCCO,Banks - Regional,0.9424,0.11229,624,,,,,,,,
NIM/VPV,Asset Management,0.9739,0.11239,624,,,,,,,,
NMI/VCV,Asset Management,0.9781,0.1126,624,,,,,,,,
MMU/NAN,Asset Management,0.9675,0.11261,624,,,,,,,,
NIM/NMI,Asset Management,0.9592,0.11263,624,,,,,,,,
CATY/SMBK,Banks - Regional,0.9668,0.11266,624,,,,,,,,
FMN/NIM,Asset Management,0.9544,0.1127,624,,,,,,,,
MQY/NKX,Asset Management,0.983,0.11279,624,,,,,,,,
IQI/NAD,Asset Management,0.9925,0.1129,624,,,,,,,,
BFK/NUW,Asset Management,0.9618,0.11293,624,,,,,,,,
BFK/MQY,Asset Management,0.9761,0.11299,624,,,,,,,,
ONB/SFBC,Banks - Regional,0.9584,0.11315,624,,,,,,,,
MHF/NAN,Asset Management,0.9703,0.11326,624,,,,,,,,
NUW/VGM,Asset Management,0.9731,0.11349,624,,,,,,,,
MIY/VKQ,Asset Management,0.9834,0.11377,624,,,,,,,,
NEA/NIM,Asset Management,0.9814,0.11406,624,,,,,,,,
BLE/NCA,Asset Management,0.9554,0.11427,624,,,,,,,,
BOTJ/SMBK,Banks - Regional,0.9395,0.11431,624,,,,,,,,
NBTB/SMBC,Banks - Regional,0.969,0.11439,624,,,,,,,,
NQP/NRK,Asset Management,0.9904,0.1145,624,,,,,,,,
MHF/VKQ,Asset Management,0.9612,0.1146,624,,,,,,,,
ATLO/PFS,Banks - Regional,0.9286,0.11475,624,,,,,,,,
